origen,destino,probContagio
Q001,Q003,0.45
Q001,Q008,0.40
Q001,Q015,0.50
Q002,Q006,0.70
Q002,Q012,0.65
Q002,Q016,0.60
Q003,Q001,0.45
Q003,Q009,0.55
Q003,Q022,0.50
Q004,Q008,0.50
Q004,Q021,0.55
Q004,Q027,0.45
Q005,Q011,0.50
Q005,Q023,0.45
Q005,Q030,0.40
Q006,Q002,0.65
Q006,Q012,0.70
Q006,Q024,0.60
Q007,Q014,0.75
Q007,Q019,0.70
Q007,Q026,0.80
Q008,Q001,0.40
Q008,Q004,0.50
Q008,Q022,0.45
Q009,Q003,0.55
Q009,Q013,0.60
Q009,Q025,0.45
Q010,Q020,0.45
Q010,Q028,0.50
Q011,Q005,0.50
Q011,Q023,0.55
Q011,Q027,0.45
Q012,Q002,0.65
Q012,Q006,0.70
Q012,Q024,0.60
Q013,Q009,0.55
Q013,Q017,0.50
Q013,Q025,0.45
Q014,Q007,0.70
Q014,Q019,0.65
Q014,Q026,0.75
Q015,Q001,0.50
Q015,Q022,0.45
Q015,Q025,0.55
Q016,Q002,0.60
Q016,Q024,0.65
Q017,Q013,0.50
Q017,Q021,0.55
Q017,Q027,0.45
Q018,Q001,0.45
Q018,Q028,0.50
Q019,Q007,0.70
Q019,Q014,0.65
Q019,Q026,0.75
Q020,Q010,0.45
Q020,Q028,0.40
Q021,Q004,0.55
Q021,Q017,0.50
Q021,Q027,0.45
Q022,Q003,0.50
Q022,Q008,0.45
Q022,Q015,0.45
Q023,Q005,0.45
Q023,Q011,0.50
Q023,Q030,0.40
Q024,Q006,0.60
Q024,Q012,0.65
Q024,Q016,0.55
Q025,Q009,0.45
Q025,Q013,0.50
Q025,Q015,0.55
Q026,Q007,0.75
Q026,Q014,0.70
Q026,Q019,0.80
Q027,Q004,0.45
Q027,Q011,0.50
Q027,Q021,0.45
Q028,Q010,0.50
Q028,Q018,0.45
Q028,Q020,0.40
Q029,Q007,0.70
Q029,Q019,0.65
Q029,Q026,0.75
Q030,Q005,0.40
Q030,Q023,0.45
